Title,First_author,Year_of_publication,Disease_studied,Disease_plot,Mosquito_species,Country,Region,WHO_region,Model_type,Spatial_model,Spatial_model_class,Spatial_method,Spatial_scale,Spatial_data,Spatial_data_standardised,Mixed_data,Connectivity_assumption,Connectivity_assumption_standardised,Mixed_connectivity_assumption,Assumption_plot
Bayesian spatiotemporal analysis of malaria infection along an international border: Hlaingbwe Township in Myanmar and Tha-Song-Yang District in Thailand,"Thway, A. M. ",2018,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Myanmar and Thailand,Hlaingbwe Township (Myanmar) and Tha-Song-Yang District (Thailand),SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Bayesian spatiotemporal mapping of relative dengue disease risk in Bandung, Indonesia","Jaya, I. G. M. N.",2019,Dengue,Dengue,Aedes,Indonesia,Bandung,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Bayesian Spatiotemporal Modeling of Routinely collected Data to Assess the Effect of Health programs in Malaria incidence During pregnancy in Burkina faso,"Rouamba, T. ",2020,Malaria,Malaria,Anopheles,Burkina Faso,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Bayesian spatiotemporal modeling with sliding windows to correct reporting delays for real-time dengue surveillance in Thailand,"Rotejanaprasert, C. ",2020,Dengue,Dengue,Aedes,Thailand,Bangkok,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Changing malaria prevalence on the Kenyan coast since 1974: Climate, drugs and vector control","Snow, R. W. ",2015,Malaria (P. falciparum),Malaria,Anopheles,Kenya,"Kilifi, Kwale and Mombasa Counties ",AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Characterizing the spatial and temporal variation of malaria incidence in Bangladesh, 2007","Reid, H. L. ",2012,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Bangladesh,,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Climate variability and dengue fever in Makassar, Indonesia: Bayesian spatio-temporal modelling","Aswi, A. ",2020,Dengue,Dengue,Aedes,Indonesia,Makassar,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Dengue outlook for the World Cup in Brazil: An early warning model framework driven by real-time seasonal climate forecasts,"Lowe, R. ",2014,Dengue,Dengue,Aedes,Brazil,,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Dry weather induces outbreaks of human West Nile virus infections,"Wang, G. ",2010,West Nile fever,West Nile fever,Culex,USA,Mississippi,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Ecological niche of the 2003 West Nile virus epidemic in the northern Great Plains of the United States,"Wimberly, M. C. ",2008,West Nile fever,West Nile fever,Culex,USA,Northern Great Plains,PAHO,Statistical,GAMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Effect of Free Healthcare Policy for Children under Five Years Old on the Incidence of Reported Malaria Cases in Burkina Faso by Bayesian Modelling: “Not only the Ears but also the Head of the Hippopotamus”,"Ouédraogo, M. ",2020,Malaria,Malaria,Anopheles,Burkina Faso,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Effects of Socio-Environmental Factors on Malaria Infection in Pakistan: A Bayesian Spatial Analysis,"Umer, M. F. ",2019,Malaria,Malaria,Anopheles,Pakistan,,EMRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Elimination of malaria due to Plasmodium vivax in central part of the People's Republic of China: Analysis and prediction based on modelling,"Chen, Z. ",2014,Malaria (P. vivax),Malaria,Anopheles,China,Central,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Estimating relative risk for dengue disease in Peninsular Malaysia using INLA,"Abd Naeeim, N. S.",2017,Dengue,Dengue,Aedes,Malaysia,,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Estimation of malaria incidence in northern Namibia in 2009 using Bayesian conditional-autoregressive spatial-temporal models,"Alegana, V. A. ",2013,Malaria,Malaria,Anopheles,Namibia,Northern,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Extended convolution model to bayesian spatio-temporal for diagnosing the DHF endemic locations,Mukhsar,2016,DHF,Dengue,Aedes,Indonesia,"Kendari, Southern Sulawesi",SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Forest cover and climate as potential drivers for dengue fever in Sumatra and Kalimantan 2006-2016: A spatiotemporal analysis,"Husnina, Z. ",2019,Dengue,Dengue,Aedes,Indonesia,Sumatra and Kalimantan,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Generalized linear mixed models with spatial random effects for spatio-temporal data: An application to dengue fever mapping,"Lekdee, K. ",2013,Dengue,Dengue,Aedes,Thailand,Northern,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Geo-additive modelling of malaria in Burundi,"Nkurunziza, H. ",2011,Malaria,Malaria,Anopheles,Burundi,,AFRO,Statistical,GAMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Geographical mapping and Bayesian spatial modeling of malaria incidence in Sistan and Baluchistan province, Iran","Zayeri, F.",2011,Malaria,Malaria,Anopheles,Iran,Sistan and Baluchistan province,EMRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Impact of meteorological factors on the spatiotemporal patterns of dengue fever incidence,"Chien, L. C. ",2016,Dengue,Dengue,Aedes,Taiwan,Southern,WPRO,Statistical,DLNM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Interactions between climatic changes and intervention effects on malaria spatio-temporal dynamics in Uganda,"Ssempiira, J.",2018,Malaria,Malaria,Anopheles,Uganda,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Japanese encephalitis risk and contextual risk factors in Southwest China: A Bayesian hierarchical spatial and spatiotemporal analysis,"Zhao, X. ",2014,Japanese Encephalitis,Japanese Encephalitis,Culex,China,Southwest,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Joint estimation of relative risk for dengue and zika infections, Colombia, 2015-2016","Martínez-Bello, D. A. ",2019,Zika and dengue,Zika and dengue,Aedes,Colombia,Santander and Bucaramanga,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Mapping malaria incidence distribution that accounts for environmental factors in Maputo Province - Mozambique,"Zacarias, O. P. ",2010,Malaria,Malaria,Anopheles,Mozambique,Maputo province,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Meteorological factors - Based spatio-temporal mapping and predicting malaria in central China,"Huang, F. ",2011,Malaria,Malaria,Anopheles,China,"Anhui, Henan, and Hubei Provinces",WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Modelling malaria incidence by an autoregressive distributed lag model with spatial component,"Laguna, F. ",2017,Malaria,Malaria,Anopheles,Venezuela,Sucre state,PAHO,Statistical,Autoregressive distributed lag model,Mixed effect,Vectorial autoregressive model,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Modelling the incidence of Plasmodium vivax and Plasmodium falciparum malaria in Afghanistan 2006-2009,"Alegana, V. A.",2014,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Afghanistan,,EMRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"National spatial and temporal patterns of notified dengue cases, Colombia 2007-2010","Restrepo, A. C. ",2014,Dengue,Dengue,Aedes,Colombia,,PAHO,Statistical,GAMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Population Density, Climate Variables and Poverty Synergistically Structure Spatial Risk in Urban Malaria in India","Santos-Vega, M. ",2016,Malaria (P. vivax),Malaria,Anopheles,India,Ahmedabad,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Quantifying the added value of climate information in a spatio-temporal dengue model,"Lowe, R. ",2016,Dengue,Dengue,Aedes,Thailand,,SEARO,Statistical,GLMM and GAMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Relative importance of climatic, geographic and socio-economic determinants of malaria in Malawi","Lowe, R.",2013,Malaria,Malaria,Anopheles,Malawi,,AFRO,Statistical,GAMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Relative risk analysis of dengue cases using convolution extended into spatio-temporal model,"Sani, A. ",2015,DHF,Dengue,Aedes,Indonesia,"Kendari, Southern Sulawesi",SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Relative risk estimation for dengue disease mapping in Malaysia based on Besag, York and Mollié model","Samat, N. A. ",2017,Dengue,Dengue,Aedes,Malaysia,,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Relative risk estimation of dengue disease at small spatial scale,"Martínez-Bello, D. A. ",2017,Dengue,Dengue,Aedes,Colombia,Bucaramanga,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Relative risk estimation of dengue disease in Bandung, Indonesia, using poisson-gamma and bym models considering the severity level","Kristiani, F. ",2016,Dengue,Dengue,Aedes,Indonesia,Bandung,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Severe-malaria infection and its outcomes among pregnant women in Burkina Faso health-districts: Hierarchical Bayesian space-time models applied to routinely-collected data from 2013 to 2018,"Rouamba, T. ",2020,Malaria,Malaria,Anopheles,Burkina Faso,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Social and environmental determinants of malaria in space and time in Viet Nam,"Manh, B. H. ",2011,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Vietnam,,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Space-time variation of malaria incidence in Yunnan province, China","Clements, A. C. ",2009,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,China,Yunnan,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatial analysis of dengue and the socioeconomic context of the city of Rio de Janeiro (Southeastern Brazil),"de Almeida, A. S. ",2008,Dengue,Dengue,Aedes,Brazil,Rio de Janeiro,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Spatial analysis of distribution of dengue cases in Espirito Santo, Brazil, in 2010: Use of Bayesian model","Honorato, T.",2014,Dengue,Dengue,Aedes,Brazil,Espirito Santo,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatial and Temporal Distribution of Plasmodium vivax Malaria in Korea Estimated with a Hierarchical Generalized Linear Model,"Noh, M. ",2012,Malaria (P. vivax),Malaria,Anopheles,South Korea,,WPRO,Statistical,GAMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatial and temporal patterns of dengue incidence in northeastern Thailand 2006-2016,"Phanitchat, T. ",2019,Dengue,Dengue,Aedes,Thailand,Khon Kaen Province,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Spatial and temporal patterns of dengue infections in Timor-Leste, 2005-2013","Wangdi, K. ",2018,Dengue,Dengue,Aedes,Timor-Leste,,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatial distribution and determinants of asymptomatic malaria risk among children under 5 years in 24 districts in Burkina Faso,"Ouedraogo, M. ",2018,Malaria,Malaria,Anopheles,Burkina Faso,"Boucle de Mouhoun, Centre-East, CentreNorth, Centre-West, North and South-West",AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatial Distribution of Dengue in a Brazilian Urban Slum Setting: Role of Socioeconomic Gradient in Disease Risk,Kikuti M,2015,Dengue,Dengue,Aedes,Brazil,Salvador,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Spatial distribution of dengue incidence and socio-environmental conditions in Campinas, Sao Paulo State, Brazil, 2007","Costa, J. V. ",2013,Dengue,Dengue,Aedes,Brazil,"Campinas, São Paulo State",PAHO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Spatial modeling of dengue and socio-environmental indicators in the city of Rio de Janeiro, Brazil","Teixeira, T. R. de A. ",2011,Dengue,Dengue,Aedes,Brazil,Rio de Janeiro,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Spatial Patterns and Socioecological Drivers of Dengue Fever Transmission in Queensland, Australia","Hu, W. B. ",2012,Dengue,Dengue,Aedes,Australia,Queensland,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatio-seasonal modeling of the incidence rate of malaria in Mozambique,"Abellana, R. ",2008,Malaria,Malaria,Anopheles,Mozambique,Manhiça district,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatio-temporal analysis of the role of climate in inter-annual variation of malaria incidence in Zimbabwe,"Mabaso, M. L. H. ",2006,Malaria,Malaria,Anopheles,Zimbabwe,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatio-temporal modeling of zika and dengue infections within Colombia,"Martínez-Bello, D. A.",2018,Zika and dengue,Zika and dengue,Aedes,Colombia,Santander and Bucaramanga,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatio-temporal modelling of climate-sensitive disease risk: Towards an early warning system for dengue in Brazil,"Lowe, R. ",2011,Dengue,Dengue,Aedes,Brazil,Southeast,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatio-temporal models for mapping the incidence of malaria in Para,"Nobre, A. A. ",2005,Malaria,Malaria,Anopheles,Brazil,Para,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatiotemporal analysis of historical records (2001-2012) on dengue fever in Vietnam and development of a statistical model for forecasting risk,"Bett, B. ",2019,Dengue,Dengue,Aedes,Vietnam,,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Spatiotemporal heterogeneity in the distribution of chikungunya and Zika virus case incidences during their 2014 to 2016 epidemics in Barranquilla, Colombia","McHale, T. C. ",2019,Chikungunya and Zika,Chikungunya and Zika,Aedes,Colombia,Barranquilla,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatiotemporal modeling of relative risk of dengue disease in Colombia,"Martínez-Bello, D. A.",2018,Dengue,Dengue,Aedes,Colombia,Bucaramanga,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Surveillance on the endemic of Zika virus infection by meteorological factors in Colombia: a population-based spatial and temporal study,"Chien, L. C. ",2018,Zika,Zika,Aedes,Colombia,,PAHO,Statistical,DLNM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
The development of an early warning system for climate-sensitive disease risk with a focus on dengue epidemics in Southeast Brazil,"Lowe, R. ",2012,Dengue,Dengue,Aedes,Brazil,Southeast,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"The Importance of Socio-Economic Versus Environmental Risk Factors for Reported Dengue Cases in Java, Indonesia","Wijayanti, S. P. M. ",2016,Dengue,Dengue,Aedes,Indonesia,Banyumas Regency of Central Java,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Towards empirical description of malaria seasonality in southern Africa: The example of Zimbabwe,"Mabaso, M. L. H. ",2005,Malaria,Malaria,Anopheles,Zimbabwe,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Two-level resolution of relative risk of dengue disease in a hyperendemic city of Colombia,"Adin, A. ",2018,Dengue,Dengue,Aedes,Colombia,Bucaramanga,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Use of Poisson spatiotemporal regression models for the Brazilian Amazon Forest: malaria count data,"Achcar, J. A. ",2011,Malaria,Malaria,Anopheles,Brazil,Amazon,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Examination of the geographical variation in human West Nile virus: A spatial filtering approach,"Tevie, J. ",2014,West Nile fever,West Nile fever,Culex,USA,California and Colorado,PAHO,Statistical,GLMM,Mixed effect,Covariate,District,Adjacency,Adjacency,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
Geography and social distribution of malaria in Indonesian Papua: A cross-sectional study,"Hanandita, W. ",2016,Malaria,Malaria,Anopheles,Indonesia,Papua,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
"How Socio-Environmental Factors Are Associated with Japanese Encephalitis in Shaanxi, China-A Bayesian Spatial Analysis","Zhang, S. B.",2018,Japanese Encephalitis,Japanese Encephalitis,Culex,China,Shaanxi,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected as they share characteristics,Shared characteristics,,Distance-based
Factors associated with human West Nile virus infection in Ontario: A generalized linear mixed modelling approach,"Mallya, S. ",2018,West Nile fever,West Nile fever,Culex,Canada,Ontario,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
A long neglected world malaria map: Plasmodium vivax endemicity in 2010,Gething PW,2012,Malaria (P. vivax),Malaria,Anopheles,Global,,Multiple,Statistical,GLMM,Mixed effect,Random effect,Patch,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
A new world malaria map: Plasmodium falciparum endemicity in 2010,Gething PW,2011,Malaria (P. falciparum),Malaria,Anopheles,Global,,Multiple,Statistical,GLMM,Mixed effect,Random effect,Patch,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
A world malaria map: Plasmodium falciparum endemicity in 2007,"Hay, S. I. ",2009,Malaria (P. falciparum),Malaria,Anopheles,Global,,Multiple,Statistical,GLMM,Mixed effect,Random effect,Patch,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Advances in mapping malaria for elimination: Fine resolution modelling of Plasmodium falciparum incidence,"Alegana, V. A. ",2016,Malaria (P. falciparum),Malaria,Anopheles,Namibia,Northern Namibia,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Association between landscape factors and spatial patterns of Plasmodium knowlesi infections in Sabah, Malaysia","Fornace, K. M. ",2016,Malaria (P. knowlesi),Malaria,Anopheles,Malaysia,Kudat and Kota Marudu districts in Sabah,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Baseline spatial distribution of malaria prior to an elimination programme in Vanuatu,"Reid, H. ",2010,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Vanuatu,Tanna Island,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Bayesian geostatistical modelling of malaria and lymphatic filariasis infections in Uganda: Predictors of risk and geographical patterns of co-endemicity,"Stensgaard, A. S. ",2011,Malaria,Malaria,Anopheles,Uganda,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Characterizing local-scale heterogeneity of malaria risk: A case study in Bunkpurugu-Yunyoo district in northern Ghana,"Amratia, P.",2019,Malaria,Malaria,Anopheles,Ghana,"Bunkpurugu-Yunyoo district (BYD), Northern Region",AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Childhood malaria in the Gambia: a case-study in model-based geostatistics,"Diggle, P. ",2002,Malaria,Malaria,Anopheles,The Gambia,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Combining data from multiple spatially referenced prevalence surveys using generalized linear geostatistical models,"Giorgi, E. ",2015,Malaria,Malaria,Anopheles,Malawi,"Chikhwawa District, Southern Malawi",AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Developing a spatial-statistical model and map of historical malaria prevalence in Botswana using a staged variable selection procedure,"Craig, M. H. ",2007,Malaria,Malaria,Anopheles,Botswana,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Effects of vector-control interventions on changes in risk of malaria parasitaemia in sub-Saharan Africa: A spatial and temporal analysis,"Giardina, F. ",2014,Malaria,Malaria,Anopheles,"Angola, Liberia, Mozambique, Senegal, Rwanda, and Tanzania",,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Geostatistical modeling of malaria endemicity using serological indicators of exposure collected through school surveys,"Ashton, R. A. ",2015,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Ethiopia,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Geostatistical modelling of the malaria risk in Mozambique: Effect of the spatial resolution when using remotely-sensed imagery,"Giardina, F. ",2015,Malaria,Malaria,Anopheles,Mozambique,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Impact of iron fortification on the geospatial patterns of malaria and non-malaria infection risk among young children: A secondary spatial analysis of clinical trial data from Ghana,"Aimone, A. M. ",2017,Malaria,Malaria,Anopheles,Ghana,Brong-Ahafo Region,AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Malaria control and the intensity of Plasmodium falciparum transmission in Namibia 1969-1992,"Noor, A. M. ",2013,Malaria (P. falciparum),Malaria,Anopheles,Namibia,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Patch,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Mapping malaria risk in Bangladesh using Bayesian geostatistical models,"Reid, H. ",2010,Malaria (P. falciparum),Malaria,Anopheles,Bangladesh,,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Areas within fixed distance are connected,Distance,,Distance-based
Mapping malaria seasonality in Madagascar using health facility data,"Nguyen, M ",2020,Malaria,Malaria,Anopheles,Madagascar,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Mapping the global endemicity and clinical burden of Plasmodium vivax, 2000-17: a spatial and temporal modelling study","Battle, K. E. ",2019,Malaria (P. vivax),Malaria,Anopheles,Global,,Multiple,Statistical,GLMM,Mixed effect,Random effect,Country and district,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Modelling the effects of weather and climate on malaria distributions in West Africa,"Arab, A.",2014,Malaria,Malaria,Anopheles,West Africa,"Benin, Burkina Faso, Cote d'Ivoire, Gambia, Ghana, Liberia, Mali, Senegal, Sierra Leone, and Togo",AFRO,Statistical,GLMM,Mixed effect,Random effect,Country,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Multilevel and geo-statistical modeling of malaria risk in children of Burkina Faso,"Samadoulougou, S. ",2014,Malaria,Malaria,Anopheles,Burkina Faso,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Plasmodium falciparum malaria endemicity in Indonesia in 2010,"Elyazar, I. R. ",2011,Malaria (P. falciparum),Malaria,Anopheles,Indonesia,,SEARO,Statistical,GLMM,Mixed effect,Random effect,Patch,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Quantifying aggregated uncertainty in Plasmodium falciparum malaria prevalence,Gething PW,2010,Malaria (P. falciparum),Malaria,Anopheles,Global,,Multiple,Statistical,GLMM,Mixed effect,Random effect,Patch,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Restricted spatial regression in practice: Geostatistical models, confounding, and robustness under model misspecification","Hanks, E. M. ",2015,Malaria,Malaria,Anopheles,The Gambia,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Seroprevalence for dengue virus in a hyperendemic area and associated socioeconomic and demographic factors using a cross-sectional design and a geostatistical approach, state of Sao Paulo, Brazil","Chiaravalloti-Neto, F. ",2019,Dengue,Dengue,Aedes,Brazil,São José do Rio Preto,PAHO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
